p_name,p_draftYear,p_draftPick,p_draftPos,Last Active Year,p_games,p_stats
Dan Gadzuric,2003,34,,2012,,
Daniel Gafford,2020,38,,2022,,
Deng Gai,2006,,,2006,,
Elmer Gainer,1948,,,1950,,
Bill Gaines,1969,,,1969,,
Corey Gaines,1989,,,1995,,
Reece Gaines,2004,15,,2006,,
Smokey Gaines,1968,,,1968,,
Sundiata Gaines,2010,,,2012,,
Mike Gale,1972,,,1982,,
Chad Gallagher,1994,32,,1994,,
Harry Gallatin*,1949,,,1958,,
Gene Gallette,1947,,,1947,,
Danilo Gallinari,2009,6,,2022,,
Langston Galloway,2015,,,2022,,
Dave Gambee,1959,,,1970,,
Kevin Gamble,1988,,,1997,,
Bob Gantt,1947,,,1947,,
Jorge Garbajosa,2007,,,2008,,
Rubén Garcés,2001,,,2001,,
Alex Garcia,2004,,,2005,,
Francisco García,2006,23,,2015,,
Chuck Gardner,1968,,,1968,,
Earl Gardner,1949,,,1949,,
Kenneth Gardner,1976,,,1976,,
Thomas Gardner,2008,,,2009,,
Vern Gardner,1950,,,1952,,
Jack Garfinkel,1947,,,1949,,
Patricio Garino,2017,,,2017,,
Darius Garland,2020,5,,2022,,
Gary Garland,1980,,,1980,,
Winston Garland,1988,,,1995,,
Dick Garmaker,1956,,,1961,,
Bill Garner,1968,,,1968,,
Chris Garner,1998,,,2001,,
Bill Garnett,1983,,,1986,,
Kevin Garnett*,1996,5,,2016,,
Marlon Garnett,1999,,,1999,,
Billy Garrett,2019,,,2019,,
Calvin Garrett,1981,,,1984,,
Dean Garrett,1997,,,2002,,
Diante Garrett,2013,,,2014,,
Dick Garrett,1970,,,1974,,
Marcus Garrett,2022,,,2022,,
Rowland Garrett,1973,,,1977,,
Tom Garrick,1989,,,1992,,
John Garris,1984,,,1984,,
Kiwane Lemorris Garris,1998,,,2000,,
Pat Garrity,1999,19,,2008,,
Usman Garuba,2022,23,,2022,,
Jim Garvin,1974,,,1974,,
Luka Garza,2022,52,,2022,,
Marc Gasol,2009,48,,2021,,
Pau Gasol,2002,3,,2019,,
Frank Gates,1950,,,1950,,
Chris Gatling,1992,16,,2002,,
Kenny Gattison,1987,,,1996,,
Rudy Gay,2007,8,,2022,,
Ed Gayda,1951,,,1951,,
Andrew Gaze,1994,,,1999,,
Michael Gbinije,2017,49,,2017,,
Reggie Geary,1997,56,,1998,,
Alonzo Gee,2010,,,2017,,
Matt Geiger,1993,42,,2002,,
Mickaël Gelabale,2007,48,,2013,,
Devean George,2000,23,,2010,,
Jack George,1954,,,1961,,
Paul George,2011,10,,2022,,
Tate George,1991,22,,1995,,
Marcus Georges-Hunt,2017,,,2018,,
Gus Gerard,1975,,,1981,,
Derrick Gervin,1990,,,1991,,
George Gervin*,1973,,,1986,,
Gorham Getchell,1947,,,1947,,
John Gianelli,1973,,,1980,,
Dick Gibbs,1972,,,1976,,
Daniel Gibson,2007,42,,2013,,
Dee Gibson,1950,10,,1950,,
Hoot Gibson,1950,,,1950,,
Jonathan Gibson,2017,,,2018,,
Mel Gibson,1964,,,1964,,
Mike Gibson,1984,,,1986,,
Taj Gibson,2010,26,,2022,,
J.R. Giddens,2009,30,,2010,,
Josh Giddey,2022,6,,2022,,
Trey Gilder,2010,,,2010,,
Harry Giles,2019,20,,2021,,
Shai Gilgeous-Alexander,2019,11,,2022,,
Anthony Gill,2021,,,2022,,
Eddie Gill,2001,,,2009,,
Kendall Gill,1991,5,,2005,,
Ben Gillery,1989,,,1989,,
Freddie Gillespie,2021,,,2022,,
Jack Gillespie,1970,,,1970,,
Armen Gilliam,1988,,,2000,,
Herm Gilliam,1970,,,1977,,
Artis Gilmore*,1972,,,1988,,
Walt Gilmore,1971,,,1971,,
Chuck Gilmur,1947,,,1951,,
Manu Ginóbili*,2003,57,,2018,,
Gordan Giriček,2003,40,,2008,,
Jack Givens,1979,,,1980,,
Mickell Gladness,2012,,,2012,,
George Glamack,1949,,,1949,,
Gerald Glass,1991,20,,1996,,
Mike Glenn,1978,,,1987,,
Normie Glick,1950,,,1950,,
Georgi Glouchkov,1986,,,1986,,
Clarence Glover,1972,,,1972,,
Dion Glover,2000,20,,2005,,
Andreas Glyniadakis,2007,58,,2007,,
Mike Gminski,1981,,,1994,,
Rudy Gobert,2014,27,,2022,,
Dan Godfread,1991,,,1992,,
Tom Gola*,1956,,,1966,,
Ben Goldfaden,1947,,,1947,,
Anthony Goldwire,1996,52,,2006,,
Ryan Gomes,2006,50,,2014,,
Glen Gondrezick,1978,,,1983,,
Grant Gondrezick,1987,,,1989,,
Drew Gooden,2003,4,,2016,,
Gail Goodrich*,1966,,,1979,,
Steve Goodrich,2001,,,2002,,
Archie Goodwin,2014,29,,2017,,
Brandon Goodwin,2019,,,2022,,
Jordan Goodwin,2022,,,2022,,
Pop Goodwin,1947,,,1948,,
Aaron Gordon,2015,4,,2022,,
Ben Gordon,2005,3,,2015,,
Drew Gordon,2015,4,,2015,,
Eric Gordon,2009,7,,2022,,
Lancaster Gordon,1985,,,1988,,
Paul Gordon,1950,,,1950,,
Marcin Gortat,2008,57,,2019,,
Leo Gottlieb,1947,,,1948,,
Andrew Goudelock,2012,46,,2016,,
Gerald Govan,1968,,,1976,,
Bato Govedarica,1954,,,1954,,
Joe Graboski,1949,,,1962,,
Ricky Grace,1994,,,1994,,
Calvin Graham,1968,,,1968,,
Devonte' Graham,2019,34,,2022,,
Greg Graham,1994,17,,1998,,
Joey Graham,2006,16,,2011,,
Mal Graham,1968,,,1969,,
Orlando Graham,1989,,,1989,,
Paul Graham,1992,,,1994,,
Stephen Graham,2006,,,2011,,
Treveon Graham,2017,,,2020,,
Jim Grandholm,1991,,,1991,,
Ron Grandison,1989,6,,1996,,
Danny Granger,2006,17,,2015,,
Stewart Granger,1984,,,1987,,
Brian Grant,1995,8,,2006,,
Bud Grant,1950,,,1951,,
Gary Grant,1989,,,2001,,
Greg Grant,1990,,,1996,,
Harvey Grant,1989,,,1999,,
Horace Grant,1988,,,2004,,
Jerami Grant,2015,39,,2022,,
Jerami Grant,2015,19,,2022,,
Jerian Grant,2016,19,,2020,,
Jerian Grant,2016,8,,2020,,
Jerian Grant,2016,39,,2020,,
Josh Grant,1994,43,,1994,,
Paul Grant,1999,20,,2004,,
Travis Grant,1973,,,1976,,
Donte Grantham,2019,,,2019,,
Don Grate,1950,,,1950,,
Butch Graves,1985,,,1985,,
Hassani Gravett,2022,,,2022,,
Aaron Gray,2008,49,,2014,,
Devin Gray,1997,,,2000,,
Ed Gray,1998,22,,1999,,
Evric Gray,1997,,,1997,,
Gary Gray,1968,,,1968,,
Josh Gray,2018,,,2020,,
Leonard Gray,1975,,,1977,,
Stuart Gray,1985,,,1991,,
Sylvester Gray,1989,,,1989,,
Wyndol Gray,1947,,,1948,,
Jeff Grayer,1989,,,1998,,
Bob Greacen,1970,,,1972,,
A.C. Green,1986,,,2001,,
Danny Green,2010,46,,2022,,
Devin Green,2006,,,2006,,
Draymond Green,2013,35,,2022,,
Erick Green,2015,46,,2016,,
Gerald Green,2006,18,,2019,,
Jalen Green,2022,2,,2022,,
JaMychal Green,2015,,,2022,,
Javonte Green,2020,,,2022,,
Jeff Green,2008,5,,2022,,
Johnny Green,1960,,,1973,,
Josh Green,2021,18,,2022,,
Ken Green,1986,,,1986,,
Kenny Green,1986,,,1987,,
Lamar Green,1970,,,1975,,
Litterial Green,1993,39,,1999,,
Luther Green,1970,,,1973,,
Mike Green,1974,,,1980,,
Rickey Green,1978,,,1992,,
Sean Green,1992,41,,1994,,
Si Green,1957,,,1966,,
Sidney Green,1984,,,1993,,
Steve Green,1976,,,1979,,
Taurean Green,2008,52,,2008,,
Tommie Green,1979,,,1979,,
Willie Green,2004,41,,2015,,
Donté Greene,2009,28,,2012,,
Orien Greene,2006,53,,2011,,
Jerry Greenspan,1964,,,1965,,
Dave Greenwood,1980,,,1991,,
Hal Greer*,1959,,,1973,,
Lynn Greer,2007,,,2007,,
Gary Gregor,1969,,,1974,,
Claude Gregory,1986,,,1988,,
John Greig,1983,,,1983,,
Norm Grekin,1954,,,1954,,
Kevin Grevey,1976,57,,1985,,
Dennis Grey,1969,,,1970,,
Adrian Griffin,2000,,,2008,,
Blake Griffin,2011,1,,2022,,
Eddie Griffin,2002,7,,2007,,
Greg Griffin,1978,,,1978,,
Paul Griffin,1977,,,1983,,
Taylor Griffin,2010,48,,2010,,
Darrell Griffith,1981,,,1991,,
Chuck Grigsby,1955,,,1955,,
Quentin Grimes,2022,25,,2022,,
Derek Grimm,1998,,,1998,,
Woody Grimshaw,1947,,,1947,,
Dick Groat,1953,,,1953,,
Bob Gross,1976,,,1983,,
Mike Grosso,1972,,,1972,,
Jerry Grote,1965,,,1965,,
Alex Groza,1950,,,1951,,
Dick Grubar,1970,,,1970,,
Anthony Grundy,2006,,,2006,,
Ernie Grunfeld,1978,,,1986,,
Gene Guarilia,1960,,,1963,,
Pétur Guðmundsson,1982,,,1989,,
Marko Guduric,2020,,,2020,,
Richie Guerin*,1957,,,1970,,
Tom Gugliotta,1993,6,,2005,,
Andrés Guibert,1994,,,1995,,
Jay Guidinger,1993,,,1994,,
Coulby Gunther,1947,,,1949,,
Dave Gunther,1963,,,1963,,
Al Guokas,1950,,,1950,,
Matt Guokas,1947,,,1947,,
Matt Guokas,1967,,,1976,,
Jorge Gutiérrez,2014,,,2016,,
Kyle Guy,2020,55,,2022,,
A.J. Guyton,2001,32,,2003,,
Rui Hachimura,2020,9,,2022,,
Rudy Hackett,1976,,,1977,,
Hamed Haddadi,2009,,,2013,,
Jim Hadnot,1968,,,1968,,
Scott Haffner,1990,,,1991,,
Cliff Hagan*,1957,,,1970,,
Glenn Hagan,1982,,,1982,,
Tom Hagan,1970,,,1971,,
Ashton Hagans,2021,,,2021,,
Robert Hahn,1950,,,1950,,
Al Hairston,1969,,,1970,,
Happy Hairston,1965,,,1975,,
Lindsay Hairston,1976,,,1976,,
Malik Hairston,2009,48,,2010,,
P.J. Hairston,2015,26,,2016,,
Marcus Haislip,2003,13,,2010,,
Chick Halbert,1947,,,1951,,
Swede Halbrook,1961,,,1962,,
Bruce Hale,1949,,,1951,,
Hal Hale,1968,,,1968,,
Jack Haley,1989,,,1998,,
Tyrese Haliburton,2021,12,,2022,,
Shaler Halimon,1969,,,1973,,
Devon Hall,2020,53,,2020,,
Donta Hall,2020,,,2021,,
Josh Hall,2021,,,2021,,
Mike Hall,2007,,,2007,,
Tyler Hall,2022,,,2022,,
Jeff Halliburton,1972,,,1973,,
Darvin Ham,1997,,,2005,,
Steve Hamer,1997,38,,1997,,
Dale Hamilton,1950,,,1950,,
Daniel Hamilton,2018,56,,2019,,
Dennis Hamilton,1968,,,1971,,
Joe Hamilton,1971,,,1976,,
Jordan Hamilton,2012,26,,2016,,
Justin Hamilton,2014,45,,2017,,
Ralph Hamilton,1949,,,1949,,
Richard Hamilton,2000,7,,2013,,
Roy Hamilton,1980,,,1981,,
Steve Hamilton,1959,,,1960,,
Tang Hamilton,2002,,,2002,,
Thomas Hamilton,1996,,,2000,,
Zendon Hamilton,2001,50,,2006,,
Geert Hammink,1994,26,,1996,,
Julian Hammond,1968,,,1972,,
Tom Hammonds,1990,,,2001,,
A.J. Hammons,2017,46,,2017,,
Joe Hamood,1968,,,1968,,
R.J. Hampton,2021,24,,2022,,
Darrin Hancock,1995,38,,1997,,
Ben Handlogten,2004,,,2005,,
Cecil Hankins,1947,,,1948,,
Phil Hankinson,1974,,,1975,,
Dusty Hannahs,2019,,,2020,,
Alex Hannum*,1950,,,1957,,
Don Hanrahan,1953,,,1953,,
Rollen Hans,1954,,,1955,,
Ben Hansbrough,2013,,,2013,,
Tyler Hansbrough,2010,13,,2016,,
Bob Hansen,1984,,,1992,,
Glenn Hansen,1976,,,1978,,
Lars Hansen,1979,,,1979,,
Travis Hansen,2004,37,,2004,,
Reggie Hanson,1998,,,1998,,
Bill Hanzlik,1981,,,1990,,
Luke Harangody,2011,52,,2012,,
Anfernee Hardaway,1994,3,,2008,,
Tim Hardaway*,1990,,,2003,,
Tim Hardaway Jr.,2014,24,,2022,,
James Harden,2010,3,,2022,,
Reggie Harding,1964,,,1968,,
Charlie Hardnett,1963,,,1965,,
Alan Hardy,1981,,,1982,,
Darrell Hardy,1968,,,1968,,
James Hardy,1979,,,1982,,
Ira Harge,1968,,,1973,,
John Hargis,1950,,,1951,,
Maurice Harkless,2013,15,,2022,,
Jerry Harkness,1964,,,1969,,
Skip Harlicka,1969,,,1969,,
Jerome Harmon,1995,,,1995,,
Derek Harper,1984,,,1999,,
Jared Harper,2020,,,2022,,
Justin Harper,2012,32,,2017,,
Mike Harper,1981,,,1982,,
Ron Harper,1987,,,2001,,
Matt Harpring,1999,15,,2009,,
Montrezl Harrell,2016,32,,2022,,
Josh Harrellson,2012,45,,2014,,
Adam Harrington,2003,,,2003,,
Al Harrington,1999,25,,2014,,
Junior Harrington,2003,,,2007,,
Othella Harrington,1997,30,,2008,,
Art Harris,1969,,,1972,,
Bernie Harris,1975,,,1975,,
Billy Harris,1975,,,1975,,
Bob Harris,1950,,,1954,,
Chris Harris,1956,,,1956,,
Devin Harris,2005,5,,2019,,
Devin Harris,2005,50,,2019,,
Elias Harris,2014,,,2014,,
Gary Harris,2015,19,,2022,,
Jalen Harris,2021,59,,2021,,
Joe Harris,2015,33,,2022,,
Lucious Harris,1994,28,,2005,,
Manny Harris,2011,,,2017,,
Mike Harris,2008,,,2014,,
Steve Harris,1986,,,1990,,
Terrel Harris,2012,,,2013,,
Tobias Harris,2012,19,,2022,,
Tony Harris,1991,,,1995,,
Aaron Harrison,2016,,,2018,,
Andrew Harrison,2017,44,,2019,,
Bob Harrison,1950,,,1958,,
David Harrison,2005,29,,2008,,
Shaquille Harrison,2018,,,2022,,
Jason Hart,2001,49,,2010,,
Josh Hart,2018,30,,2022,,
Isaiah Hartenstein,2019,43,,2022,,
Antonio Harvey,1994,,,2003,,
Donnell Harvey,2001,22,,2005,,
Scott Haskin,1994,14,,1994,,
Clem Haskins,1968,,,1976,,
Udonis Haslem,2004,,,2022,,
Trenton Hassell,2002,30,,2010,,
Billy Hassett,1950,,,1951,,
Joe Hassett,1978,,,1983,,
Scott Hastings,1983,,,1993,,
Kirk Haston,2002,16,,2003,,
Vern Hatton,1959,,,1962,,
Sam Hauser,2022,,,2022,,
John Havlicek*,1963,,,1978,,
Spencer Hawes,2008,10,,2017,,
Steve Hawes,1975,,,1984,,
Bubbles Hawkins,1976,,,1979,,
Connie Hawkins*,1968,,,1976,,
Hersey Hawkins,1989,,,2001,,
Juaquin Hawkins,2003,,,2003,,
Marshall Hawkins,1950,,,1950,,
Michael Hawkins,1997,,,2001,,
Tom Hawkins,1960,,,1969,,
Nate Hawthorne,1974,,,1976,,
Chuck Hayes,2006,,,2016,,
Elvin Hayes*,1969,,,1984,,
Jarvis Hayes,2004,10,,2010,,
Jaxson Hayes,2020,8,,2022,,
Jim Hayes,1971,,,1971,,
Killian Hayes,2021,7,,2022,,
Nigel Hayes,2018,,,2018,,
Steve Hayes,1982,,,1986,,
Gordon Hayward,2011,9,,2022,,
Lazar Hayward,2011,30,,2013,,
Brendan Haywood,2002,20,,2015,,
Spencer Haywood*,1970,,,1983,,
John Hazen,1949,,,1949,,
Walt Hazzard,1965,,,1974,,
Luther Head,2006,24,,2011,,
Shane Heal,1997,,,2004,,
Brian Heaney,1970,,,1970,,
Gar Heard,1971,,,1981,,
Reggie Hearn,2018,,,2018,,
Herm Hedderick,1955,,,1955,,
Alvin Heggs,1996,,,1996,,
Tom Heinsohn*,1957,,,1965,,
Dick Hemric,1956,,,1957,,
Alan Henderson,1996,16,,2007,,
Cedric Henderson,1987,44,,1987,,
Cedric Henderson,1998,44,,2002,,
Dave Henderson,1988,,,1988,,
Gerald Henderson,1980,12,,1992,,
Gerald Henderson,2010,12,,2017,,
J.R. Henderson,1999,56,,1999,,
Jerome Henderson,1986,,,1987,,
Kevin Henderson,1987,,,1988,,
Tom Henderson,1975,,,1983,,
Mark Hendrickson,1997,31,,2000,,
Larry Hennessy,1956,,,1957,,
Don Henriksen,1953,,,1955,,
Aaron Henry,2022,,,2022,,
Al Henry,1971,,,1972,,
Bill Henry,1949,,,1950,,
Carl Henry,1986,,,1986,,
Conner Henry,1987,,,1988,,
Myke Henry,2018,,,2018,,
Skeeter Henry,1994,,,1994,,
Xavier Henry,2011,12,,2015,,
John Henson,2013,14,,2020,,
Steve Henson,1991,44,,1999,,
Charles Hentz,1971,,,1971,,
Bill Herman,1950,,,1950,,
Kleggie Hermsen,1947,,,1953,,
Dewan Hernandez,2020,59,,2020,,
Juancho Hernangómez,2017,15,,2022,,
Willy Hernangómez,2017,35,,2022,,
Chris Herren,2000,33,,2001,,
Carl Herrera,1992,30,,1999,,
Walter Herrmann,2007,,,2009,,
Tyler Herro,2020,13,,2022,,
Keith Herron,1979,,,1982,,
Sonny Hertzberg,1947,,,1951,,
Kevin Hervey,2020,57,,2020,,
Dan Hester,1971,,,1971,,
Fred Hetzel,1966,,,1971,,
Bill Hewitt,1969,,,1975,,
Jack Hewson,1948,,,1948,,
Art Heyman,1964,,,1970,,
Mario Hezonja,2016,5,,2020,,
Roy Hibbert,2009,17,,2017,,
Nat Hickey,1948,,,1948,,
Isaiah Hicks,2018,,,2019,,
Phil Hicks,1977,,,1979,,
J.J. Hickson,2009,19,,2016,,
Buddy Hield,2017,6,,2022,,
Bill Higgins,1975,,,1975,,
Cory Higgins,2012,,,2013,,
Earle Higgins,1971,,,1971,,
Mike Higgins,1990,,,1991,,
Rod Higgins,1983,,,1995,,
Sean Higgins,1991,54,,1998,,
Kenny Higgs,1979,,,1982,,
Johnny High,1980,,,1984,,
Haywood Highsmith,2019,,,2022,,
Wayne Hightower,1963,,,1972,,
Nenê,2003,7,,2019,,
Armond Hill,1977,,,1984,,
Cleo Hill,1962,,,1962,,
Gary Hill,1964,,,1965,,
George Hill,2009,26,,2022,,
Grant Hill*,1995,3,,2013,,
Jordan Hill,2010,8,,2017,,
Malcolm Hill,2022,,,2022,,
Simmie Hill,1970,,,1974,,
Solomon Hill,2014,23,,2022,,
Solomon Hill,2014,33,,2022,,
Steven Hill,2009,,,2009,,
Tyrone Hill,1991,11,,2004,,
Art Hillhouse,1947,,,1948,,
Darrun Hilliard,2016,38,,2018,,
Darnell Hillman,1972,,,1980,,
Fred Hilton,1972,,,1973,,
Kirk Hinrich,2004,7,,2016,,
Roy Hinson,1984,,,1991,,
Nate Hinton,2021,,,2022,,
Mel Hirsch,1947,,,1947,,
Lew Hitch,1952,,,1957,,
Robert Hite,2007,,,2007,,
Jaylen Hoard,2020,,,2022,,
Darington Hobson,2012,37,,2012,,
Donald Hodge,1992,33,,1996,,
Julius Hodge,2006,20,,2007,,
Craig Hodges,1983,,,1992,,
Charlie Hoefer,1947,,,1948,,
Paul Hoffman,1948,,,1955,,
Bob Hogsett,1967,,,1968,,
Paul Hogue,1963,,,1964,,
Fred Hoiberg,1996,52,,2005,,
Doug Holcomb,1949,,,1949,,
Randy Holcomb,2006,57,,2006,,
Aaron Holiday,2019,23,,2022,,
Jrue Holiday,2010,17,,2022,,
Justin Holiday,2013,,,2022,,
Brad Holland,1980,,,1982,,
Joe Holland,1950,,,1952,,
John Holland,2018,,,2019,,
Wilbur Holland,1976,,,1979,,
Lionel Hollins,1976,,,1985,,
Ryan Hollins,2007,50,,2016,,
Ryan Hollins,2007,44,,2016,,
Essie Hollis,1979,,,1979,,
Rondae Hollis-Jefferson,2016,23,,2021,,
Dennis Holman,1968,,,1968,,
Richaun Holmes,2016,37,,2022,,
Jim Holstein,1953,,,1956,,
A.W. Holt,1971,,,1971,,
Michael Holton,1985,,,1990,,
Dick Holub,1948,,,1948,,
Joe Holup,1957,,,1959,,
Red Holzman*,1949,,,1954,,
Jerald Honeycutt,1998,38,,1999,,
Tyler Honeycutt,2012,35,,2013,,
Derek Hood,2000,,,2000,,
Rodney Hood,2015,23,,2022,,
Bobby Hooper,1969,,,1969,,
Carroll Hooser,1968,,,1968,,
Tom Hoover,1964,,,1969,,
Bob Hopkins,1957,,,1960,,
Dave Hoppen,1988,,,1993,,
Dennis Hopson,1988,,,1992,,
Scotty Hopson,2014,,,2022,,
Johnny Horan,1956,,,1956,,
Cedrick Hordges,1981,,,1982,,
Al Horford,2008,3,,2022,,
Tito Horford,1989,,,1994,,
Ron Horn,1962,,,1968,,
Jeff Hornacek,1987,,,2000,,
Dennis Horner,2012,,,2012,,
Robert Horry,1993,11,,2008,,
Ed Horton,1990,,,1990,,
Talen Horton-Tucker,2020,46,,2022,,
Bill Hosket,1969,,,1972,,
Bob Houbregs*,1954,,,1958,,
Danuel House Jr.,2017,,,2022,,
Eddie House,2001,37,,2011,,
Allan Houston,1994,11,,2005,,
Byron Houston,1993,27,,1996,,
Tom Hovasse,1995,,,1995,,
Brian Howard,1992,,,1993,,
Dwight Howard,2005,1,,2022,,
Greg Howard,1971,,,1972,,
Josh Howard,2004,29,,2013,,
Juwan Howard,1995,5,,2013,,
Markus Howard,2021,,,2022,,
Mo Howard,1977,,,1977,,
Otis Howard,1979,,,1979,,
Stephen Howard,1993,,,1998,,
William Howard,2020,,,2020,,
Bailey Howell*,1960,,,1971,,
Bob Hubbard,1948,,,1949,,
Phil Hubbard,1980,,,1989,,
Lester Hudson,2010,58,,2015,,
Lou Hudson*,1967,,,1979,,
Troy Hudson,1998,,,2008,,
Marcelo Huertas,2016,,,2017,,
Kevin Huerter,2019,19,,2022,,
Josh Huestis,2016,29,,2018,,
Jay Huff,2022,,,2022,,
Nate Huffman,2003,,,2003,,
Alfredrick Hughes,1986,,,1986,,
Eddie Hughes,1988,,,1990,,
Elijah Hughes,2021,39,,2022,,
Kim Hughes,1976,,,1981,,
Larry Hughes,1999,8,,2012,,
Rick Hughes,2000,,,2000,,
Robbie Hummel,2014,58,,2015,,
John Hummer,1971,,,1976,,
Ryan Humphrey,2003,19,,2005,,
Isaac Humphries,2019,,,2019,,
Jay Humphries,1985,,,1995,,
Kris Humphries,2005,14,,2017,,
Hot Rod Hundley,1958,,,1963,,
Feron Hunt,2022,,,2022,,
Brandon Hunter,2004,56,,2005,,
Cedric Hunter,1992,,,1992,,
Chris Hunter,2010,,,2010,,
De'Andre Hunter,2020,4,,2022,,
Les Hunter,1965,,,1973,,
Lindsey Hunter,1994,10,,2010,,
Othello Hunter,2009,,,2010,,
R.J. Hunter,2016,28,,2019,,
Steven Hunter,2002,15,,2010,,
Vince Hunter,2018,,,2018,,
Bobby Hurley,1994,7,,1998,,
Roy Hurley,1947,,,1947,,
Geoff Huston,1980,,,1987,,
Paul Huston,1948,,,1948,,
Mel Hutchins,1952,,,1958,,
Chandler Hutchison,2019,22,,2022,,
Joe Hutton,1951,,,1952,,
Greg Hyder,1971,,,1971,,
Bones Hyland,2022,26,,2022,,
Marc Iavaroni,1983,,,1989,,
Serge Ibaka,2010,24,,2022,,
Andre Iguodala,2005,9,,2022,,
Zydrunas Ilgauskas,1998,20,,2011,,
Mile Ilić,2007,43,,2007,,
D.J. Mbenga,2005,,,2011,,
Ersan İlyasova,2007,36,,2021,,
Darrall Imhoff,1961,,,1972,,
Tom Ingelsby,1974,,,1976,,
Joe Ingles,2015,,,2022,,
Damien Inglis,2016,31,,2016,,
Andre Ingram,2018,,,2019,,
Brandon Ingram,2017,2,,2022,,
McCoy Ingram,1958,,,1958,,
Ervin Inniger,1968,,,1969,,
Byron Irvin,1990,,,1993,,
George Irvine,1971,,,1976,,
Kyrie Irving,2012,1,,2022,,
Jonathan Isaac,2018,6,,2020,,
Dan Issel*,1971,,,1985,,
Mike Iuzzolino,1992,35,,1993,,
Allen Iverson*,1997,1,,2010,,
Willie Iverson,1969,,,1969,,
Royal Ivey,2005,37,,2014,,
Elvin Ivory,1969,,,1969,,
Wes Iwundu,2018,33,,2022,,
Warren Jabali,1969,,,1975,,
Jarrett Jack,2006,22,,2018,,
Aaron Jackson,2018,,,2018,,
Al Jackson,1968,,,1968,,
Bobby Jackson,1998,23,,2009,,
Cedric Jackson,2010,,,2010,,
Darnell Jackson,2009,52,,2011,,
Demetrius Jackson,2017,45,,2019,,
Frank Jackson,2019,31,,2022,,
Greg Jackson,1975,,,1975,,
Isaiah Jackson,2022,22,,2022,,
Jaren Jackson,1990,4,,2002,,
Jaren Jackson Jr.,2019,4,,2022,,
Jermaine Jackson,2000,,,2006,,
Jim Jackson,1993,4,,2006,,
Josh Jackson,2018,4,,2022,,
Justin Jackson,2018,15,,2022,,
Justin Jackson,2018,43,,2022,,
Luke Jackson,1965,10,,1972,,
Luke Jackson,2005,10,,2008,,
Marc Jackson,2001,37,,2007,,
Mark Jackson,1988,37,,2004,,
Mervin Jackson,1969,,,1973,,
Michael Jackson,1988,,,1990,,
Mike Jackson,1973,,,1976,,
Myron Jackson,1987,,,1987,,
Phil Jackson*,1968,,,1980,,
Pierre Jackson,2017,42,,2017,,
Ralph Jackson,1985,,,1985,,
Randell Jackson,1999,,,2000,,
Reggie Jackson,2012,24,,2022,,
Stanley Jackson,1994,,,1994,,
Stephen Jackson,2001,42,,2014,,
Tony Jackson,1968,,,1969,,
Tony Jackson,1981,,,1981,,
Tracy Jackson,1982,,,1984,,
Wardell Jackson,1975,52,,1975,,
Fred Jacobs,1947,,,1947,,
Casey Jacobsen,2003,22,,2008,,
Sam Jacobson,1999,26,,2001,,
Dave Jamerson,1991,15,,1994,,
Aaron James,1975,,,1979,,
Bernard James,2013,33,,2015,,
Billy James,1974,,,1974,,
Damion James,2011,24,,2014,,
Gene James,1949,,,1951,,
Henry James,1991,,,1998,,
Jerome James,1999,36,,2009,,
Justin James,2020,40,,2021,,
LeBron James,2004,1,,2022,,
Mike James,2002,,,2014,,
Mike James,2018,,,2021,,
Tim James,2000,25,,2002,,
Antawn Jamison,1999,4,,2014,,
Harold Jamison,2000,,,2002,,
John Janisch,1947,,,1948,,
Howie Janotta,1950,,,1950,,
Marko Jarić,2003,30,,2009,,
Tony Jaros,1947,,,1951,,
DeJon Jarreau,2022,,,2022,,
Jim Jarvis,1968,,,1969,,
Šarūnas Jasikevičius,2006,,,2007,,
Nathan Jawai,2009,41,,2010,,
Buddy Jeannette*,1948,,,1950,,
Abdul Jeelani,1980,,,1981,,
Chris Jefferies,2003,27,,2004,,
Othyus Jeffers,2010,,,2014,,
Al Jefferson,2005,15,,2018,,
Amile Jefferson,2019,,,2020,,
Cory Jefferson,2015,60,,2016,,
Dontell Jefferson,2009,,,2009,,
Richard Jefferson,2002,13,,2018,,
DaQuan Jeffries,2020,,,2022,,
Jared Jeffries,2003,11,,2013,,
Charles Jenkins,2012,44,,2013,,
Horace Jenkins,2005,,,2005,,
John Jenkins,2013,23,,2019,,
Brandon Jennings,2010,10,,2018,,
Keith Jennings,1993,,,1995,,
Chris Jent,1994,,,1997,,
Les Jepsen,1991,28,,1992,,
Jonas Jerebko,2010,39,,2019,,
Ty Jerome,2020,24,,2022,,
Grant Jerrett,2015,40,,2015,,
Eugene Jeter,2011,,,2011,,
Hal Jeter,1970,,,1970,,
Yi Jianlian,2008,6,,2012,,
Isaiah Joe,2021,49,,2022,,
Britton Johnsen,2004,,,2005,,
Alexander Johnson,2007,45,,2008,,
Alize Johnson,2019,50,,2022,,
Amir Johnson,2006,56,,2019,,
Andy Johnson,1959,,,1962,,
Anthony Johnson,1998,39,,2010,,
Armon Johnson,2011,34,,2012,,
Arnie Johnson,1949,,,1953,,
Avery Johnson,1989,,,2004,,
B.J. Johnson,2019,,,2022,,
Brice Johnson,2017,25,,2018,,
Buck Johnson,1987,,,1993,,
Cameron Johnson,2020,11,,2022,,
Carldell Johnson,2012,,,2012,,
Charles Johnson,1973,,,1979,,
