p_name,p_draftYear,p_draftPick,p_draftPos,Last Active Year,p_games,p_stats
Leandro Barbosa,2004,28,,2017,,
Steve Bardo,1992,41,,1996,,
J.J. Barea,2007,,,2020,,
Andrea Bargnani,2007,1,,2016,,
Cliff Barker,1950,,,1952,,
Tom Barker,1977,,,1979,,
Charles Barkley*,1985,,,2000,,
Erick Barkley,2001,28,,2002,,
Don Barksdale*,1952,,,1955,,
Harrison Barnes,2013,7,,2022,,
Harry Barnes,1969,,,1969,,
Jim Barnes,1965,,,1971,,
Marvin Barnes,1975,,,1980,,
Matt Barnes,2004,46,,2017,,
Scottie Barnes,2022,4,,2022,,
Dick Barnett,1960,,,1974,,
Jim Barnett,1967,,,1977,,
Nathaniel Barnett,1976,,,1976,,
John Barnhill,1963,,,1972,,
Norton Barnhill,1977,,,1977,,
Leo Barnhorst,1950,,,1954,,
John Barr,1947,21,,1947,,
Mike Barr,1973,,,1977,,
Moe Barr,1971,,,1971,,
Andre Barrett,2005,,,2008,,
Ernie Barrett,1954,,,1956,,
Mike Barrett,1970,,,1973,,
RJ Barrett,2020,3,,2022,,
Earl Barron,2006,,,2015,,
Dana Barros,1990,,,2004,,
Brent Barry,1996,15,,2009,,
Drew Barry,1998,57,,2000,,
Jon Barry,1993,21,,2006,,
Rick Barry*,1966,,,1980,,
Ed Bartels,1950,,,1951,,
Vic Bartolome,1972,,,1972,,
Will Barton,2013,40,,2022,,
Eddie Basden,2006,,,2006,,
Jerry Baskerville,1976,,,1976,,
Brandon Bass,2006,33,,2017,,
Paris Bass,2022,,,2022,,
Tim Bassett,1974,,,1980,,
Charles Bassey,2022,53,,2022,,
Maceo Baston,2003,58,,2009,,
Mengke Bateer,2002,,,2004,,
Billy Ray Bates,1980,,,1983,,
Keita Bates-Diop,2019,48,,2022,,
Esteban Batista,2006,,,2007,,
Mike Batiste,2003,,,2003,,
Tony Battie,1998,5,,2012,,
Shane Battier,2002,6,,2014,,
John Battle,1986,,,1995,,
Kenny Battle,1990,,,1993,,
Dave Batton,1983,,,1984,,
Lloyd Batts,1975,,,1975,,
Nicolas Batum,2009,25,,2022,,
Johnny Baum,1970,,,1974,,
Frankie Baumholtz,1947,,,1947,,
Lonny Baxter,2003,44,,2006,,
Jerryd Bayless,2009,11,,2019,,
Elgin Baylor*,1959,,,1972,,
Howard Bayne,1968,,,1968,,
Aron Baynes,2013,,,2021,,
Sergei Bazarevich,1995,,,1995,,
Kent Bazemore,2013,,,2022,,
Darius Bazley,2020,23,,2022,,
Ed Beach,1951,,,1951,,
Bradley Beal,2013,3,,2022,,
Al Beard,1968,,,1968,,
Butch Beard,1970,,,1979,,
Ralph Beard,1950,,,1951,,
Charles Beasley,1968,53,,1971,,
Jerome Beasley,2004,33,,2004,,
John Beasley,1968,,,1974,,
Malik Beasley,2017,19,,2022,,
Michael Beasley,2009,2,,2019,,
Michael Beasley,2009,17,,2019,,
Zelmo Beaty*,1963,,,1975,,
Rodrigue Beaubois,2010,25,,2013,,
Byron Beck,1968,,,1977,,
Corey Beck,1996,,,1999,,
Ernie Beck,1954,,,1961,,
Arthur Becker,1968,,,1973,,
Moe Becker,1947,,,1947,,
Bob Bedell,1968,,,1971,,
William Bedford,1987,,,1993,,
Hank Beenders,1947,,,1949,,
Ron Behagen,1974,,,1980,,
Elmer Behnke,1952,,,1952,,
Marco Belinelli,2008,18,,2020,,
Charlie Bell,2002,,,2011,,
Dennis Bell,1974,,,1976,,
Jordan Bell,2018,38,,2022,,
Raja Bell,2001,,,2012,,
Troy Bell,2004,16,,2004,,
Whitey Bell,1960,,,1961,,
Walt Bellamy*,1962,,,1975,,
DeAndre' Bembry,2017,21,,2022,,
Irv Bemoras,1954,,,1957,,
Leon Benbow,1975,,,1976,,
Dragan Bender,2017,4,,2020,,
Jonathan Bender,2000,5,,2010,,
Jerrelle Benimon,2015,,,2015,,
Benoit Benjamin,1986,,,2000,,
Corey Benjamin,1999,28,,2003,,
Anthony Bennett,2014,1,,2017,,
Elmer Bennett,1995,38,,1997,,
Mario Bennett,1996,27,,2000,,
Mel Bennett,1976,,,1982,,
Spider Bennett,1969,,,1969,,
Tony Bennett,1993,35,,1995,,
Winston Bennett,1990,,,1992,,
David Benoit,1992,,,2001,,
Keith Benson,2012,48,,2012,,
Kent Benson,1978,,,1988,,
Ben Bentil,2017,51,,2017,,
Gene Berce,1950,,,1950,,
Gary Bergen,1957,,,1957,,
Larry Bergh,1970,,,1970,,
Ricky Berry,1989,,,1989,,
Walter Berry,1987,,,1989,,
Dairis Bertāns,2019,,,2019,,
Dāvis Bertāns,2017,42,,2022,,
Del Beshore,1979,,,1980,,
Travis Best,1996,23,,2005,,
Patrick Beverley,2013,42,,2022,,
Saddiq Bey,2021,19,,2022,,
Tyler Bey,2021,36,,2021,,
Sim Bhullar,2015,,,2015,,
Wesley Bialosuknia,1968,,,1968,,
Al Bianchi,1957,,,1966,,
Hank Biasatti,1947,,,1947,,
Henry Bibby,1973,,,1981,,
Mike Bibby,1999,2,,2012,,
Ed Biedenbach,1969,,,1969,,
Andris Biedriņš,2005,11,,2014,,
Don Bielke,1956,,,1956,,
Bob Bigelow,1976,,,1979,,
Lionel Billingy,1975,,,1975,,
Chauncey Billups,1998,3,,2014,,
Dave Bing*,1967,,,1978,,
Joe Binion,1987,,,1987,,
Khem Birch,2018,,,2022,,
Jabari Bird,2018,56,,2018,,
Jerry Bird,1959,,,1959,,
Larry Bird*,1980,,,1992,,
Otis Birdsong,1978,,,1989,,
Gale Bishop,1949,,,1949,,
Goga Bitadze,2020,18,,2022,,
Bismack Biyombo,2012,7,,2022,,
Nemanja Bjelica,2016,35,,2022,,
Uwe Blab,1986,,,1990,,
Charlie Black,1949,,,1952,,
Norman Black,1981,,,1981,,
Tarik Black,2015,,,2018,,
Tom Black,1971,,,1971,,
Rolando Blackman,1982,,,1994,,
Alex Blackwell,1993,,,1993,,
Cory Blackwell,1985,,,1985,,
James Blackwell,1995,,,1995,,
Nate Blackwell,1988,,,1988,,
DeJuan Blair,2010,37,,2016,,
Steve Blake,2004,38,,2016,,
Antonio Blakeney,2018,,,2019,,
Will Blalock,2007,60,,2007,,
George Blaney,1962,,,1962,,
Lance Blanks,1991,26,,1993,,
Ricky Blanton,1993,,,1993,,
Andray Blatche,2006,49,,2014,,
Mookie Blaylock,1990,,,2002,,
Eric Bledsoe,2011,18,,2022,,
Keljin Blevins,2021,,,2022,,
Leon Blevins,1951,,,1951,,
John Block,1967,,,1976,,
Mike Bloom,1948,,,1949,,
Jaron Blossomgame,2019,59,,2019,,
Corie Blount,1994,25,,2004,,
Mark Blount,2001,54,,2009,,
Vander Blue,2014,,,2018,,
Ray Blume,1982,,,1982,,
Nelson Bobb,1950,,,1953,,
Tony Bobbitt,2005,,,2005,,
Bucky Bockhorn,1959,,,1965,,
Tom Boerwinkle,1969,,,1978,,
Keith Bogans,2004,43,,2014,,
Bogdan Bogdanović,2018,27,,2022,,
Bogdan Bogdanović,2018,31,,2022,,
Bojan Bogdanović,2015,31,,2022,,
Muggsy Bogues,1988,,,2001,,
Andrew Bogut,2006,1,,2019,,
Etdrick Bohannon,1998,,,2001,,
Bol Bol,2020,44,,2022,,
Manute Bol,1986,,,1995,,
Jonah Bolden,2019,36,,2020,,
Marques Bolden,2020,,,2021,,
Bill Bolger,1954,,,1954,,
Leandro Bolmaro,2022,23,,2022,,
Joel Bolomboy,2017,52,,2018,,
Doug Bolstorff,1958,,,1958,,
George Bon Salle,1962,,,1962,,
Phil Bond,1978,,,1978,,
Walter Bond,1993,,,1995,,
Jordan Bone,2020,57,,2021,,
Dexter Boney,1997,,,1997,,
Isaac Bonga,2019,39,,2022,,
Ron Bonham,1965,,,1968,,
Anthony Bonner,1991,23,,1996,,
Matt Bonner,2005,45,,2016,,
Butch Booker,1970,,,1970,,
Devin Booker,2016,13,,2022,,
Melvin Booker,1996,13,,1997,,
Trevor Booker,2011,23,,2018,,
Josh Boone,2007,23,,2010,,
Ron Boone,1969,,,1981,,
Calvin Booth,2000,35,,2009,,
Keith Booth,1998,28,,1999,,
Bob Boozer,1961,,,1971,,
Carlos Boozer,2003,35,,2015,,
Curtis Borchardt,2004,18,,2005,,
Jake Bornheimer,1949,,,1950,,
Lazaro Borrell,2000,,,2000,,
Ike Borsavage,1951,,,1951,,
Vince Boryla,1950,,,1954,,
Chris Bosh*,2004,4,,2016,,
Jim Bostic,1978,,,1978,,
Brandon Boston Jr.,2022,51,,2022,,
Lawrence Boston,1980,,,1980,,
Tom Boswell,1976,,,1984,,
Chris Boucher,2018,,,2022,,
James Bouknight,2022,11,,2022,,
Ruben Boumtje-Boumtje,2002,50,,2004,,
Don Boven,1950,,,1953,,
Cal Bowdler,2000,17,,2002,,
Brian Bowen,2020,,,2021,,
Bruce Bowen,1997,,,2009,,
Ryan Bowen,2000,55,,2010,,
Tommie Bowens,1968,,,1970,,
Anthony Bowie,1989,,,1998,,
Sam Bowie,1985,,,1995,,
Orbie Bowling,1968,,,1968,,
Ira Bowman,2000,,,2002,,
Ky Bowman,2020,,,2020,,
Nate Bowman,1967,,,1972,,
Donnie Boyce,1996,42,,1997,,
Dennis Boyd,1979,,,1979,,
Freddie Boyd,1973,,,1978,,
Ken Boyd,1975,,,1975,,
Earl Boykins,1999,,,2012,,
Harry Boykoff,1950,,,1951,,
Winford Boynes,1979,,,1981,,
Cedric Bozeman,2007,,,2007,,
Steve Bracey,1973,,,1975,,
Craig Brackins,2011,21,,2012,,
Gary Bradds,1965,,,1971,,
Alex Bradley,1982,,,1982,,
Alonzo Bradley,1978,,,1980,,
Avery Bradley,2011,19,,2022,,
Bill Bradley,1968,,,1968,,
Bill Bradley*,1968,,,1977,,
Charles Bradley,1982,,,1984,,
Dudley Bradley,1980,,,1989,,
Jim Bradley,1974,,,1976,,
Joe Bradley,1950,,,1950,,
Michael Bradley,2002,17,,2006,,
Michael Bradley,2002,2,,2006,,
Shawn Bradley,1994,2,,2005,,
Tony Bradley,2018,28,,2022,,
Tony Bradley,2018,45,,2022,,
Mark Bradtke,1997,,,1997,,
Marques Bragg,1996,,,1996,,
Torraye Braggs,2004,57,,2005,,
A.J. Bramlett,2000,39,,2000,,
Adrian Branch,1987,,,1990,,
Elton Brand,2000,1,,2016,,
Terrell Brandon,1992,11,,2002,,
Bob Brannum,1950,,,1955,,
Brad Branson,1982,,,1983,,
Jesse Branson,1966,,,1968,,
Jarrell Brantley,2020,50,,2021,,
Jim Brasco,1953,,,1953,,
Mike Bratz,1978,,,1986,,
Carl Braun*,1948,,,1962,,
Ignas Brazdeikis,2020,47,,2022,,
Tim Breaux,1995,,,1998,,
J.R. Bremer,2003,,,2004,,
Pete Brennan,1959,,,1959,,
Tom Brennan,1955,,,1955,,
Randy Breuer,1984,,,1994,,
Corey Brewer,2008,51,,2020,,
Corey Brewer,2008,7,,2020,,
Jamison Brewer,2002,41,,2005,,
Jim Brewer,1974,,,1982,,
Ron Brewer,1979,,,1986,,
Ronnie Brewer,2007,14,,2014,,
Primož Brezec,2002,27,,2010,,
Frankie Brian,1950,,,1956,,
Frank Brickowski,1985,,,1997,,
Junior Bridgeman,1976,,,1987,,
Bill Bridges,1963,,,1975,,
Mikal Bridges,2019,10,,2022,,
Miles Bridges,2019,12,,2022,,
Al Brightman,1947,,,1947,,
Amida Brimah,2021,,,2021,,
Aud Brindley,1947,,,1947,,
Isaiah Briscoe,2019,,,2019,,
John Brisker,1970,,,1975,,
Oshae Brissett,2020,,,2022,,
Allan Bristow,1974,,,1983,,
Tyrone Britt,1968,,,1968,,
Wayman Britt,1978,,,1978,,
Mike Brittain,1986,,,1987,,
Dave Britton,1981,,,1981,,
Jon Brockman,2010,38,,2012,,
Ryan Broekhoff,2019,,,2020,,
Jim Brogan,1982,,,1983,,
Malcolm Brogdon,2017,36,,2022,,
Gary Brokaw,1975,,,1978,,
Price Brookfield,1949,,,1950,,
Clarence Brookins,1971,,,1971,,
Aaron Brooks,2008,26,,2018,,
Armoni Brooks,2021,,,2022,,
Dillon Brooks,2018,45,,2022,,
Kevin Brooks,1992,18,,1994,,
MarShon Brooks,2012,25,,2019,,
Michael Brooks,1981,,,1988,,
Scott Brooks,1989,,,1998,,
Andre Brown,2007,,,2009,,
Anthony Brown,2016,34,,2018,,
Bob Brown,1949,,,1950,,
Bobby Brown,2009,,,2018,,
Bruce Brown,2019,42,,2022,,
Charlie Brown Jr.,2020,,,2022,,
Chaundee Brown Jr.,2022,,,2022,,
Chucky Brown,1990,,,2002,,
Damone Brown,2002,37,,2005,,
Darrel Brown,1949,44,,1949,,
Dee Brown,1991,19,,2002,,
Dee Brown,1991,46,,2002,,
Dee Brown,2007,19,,2009,,
Dee Brown,2007,46,,2009,,
Derrick Brown,2010,40,,2012,,
Derrick Brown,2010,11,,2012,,
Devin Brown,2003,,,2010,,
Ernest Brown,2002,52,,2002,,
Fred Brown,1972,,,1984,,
George Brown,1958,,,1958,,
Gerald Brown,1999,,,1999,,
Greg Brown III,2022,43,,2022,,
Harold Brown,1947,,,1947,,
Jabari Brown,2015,,,2015,,
Jaylen Brown,2017,3,,2022,,
John Brown,1974,,,1980,,
Kedrick Brown,2002,11,,2005,,
Kedrick Brown,2002,40,,2005,,
Kwame Brown,2002,1,,2013,,
Larry Brown*,1968,,,1972,,
Leon Brown,1947,,,1947,,
Lewis Brown,1981,,,1981,,
Lorenzo Brown,2014,52,,2019,,
Marcus Brown,1997,46,,2000,,
Markel Brown,2015,44,,2018,,
Mike Brown,1987,,,1997,,
Moses Brown,2020,,,2022,,
Myron Brown,1992,34,,1992,,
P.J. Brown,1994,29,,2008,,
Randy Brown,1992,31,,2003,,
Raymond Brown,1990,,,1990,,
Rickey Brown,1981,,,1985,,
Roger Brown*,1968,,,1975,,
Roger Brown,1973,,,1980,,
Shannon Brown,2007,25,,2015,,
Stan Brown,1948,,,1952,,
Sterling Brown,2018,46,,2022,,
Tierre Brown,2002,,,2005,,
Tony Brown,1985,,,1992,,
Troy Brown Jr.,2019,15,,2022,,
Troy Brown Jr.,2019,45,,2022,,
Jim Browne,1949,,,1950,,
Stanley Brundy,1990,,,1990,,
Brian Brunkhorst,1969,,,1969,,
George Bruns,1973,,,1973,,
Jalen Brunson,2019,33,,2022,,
Rick Brunson,1998,,,2006,,
Nicolás Brussino,2017,,,2018,,
Elijah Bryant,2021,,,2021,,
Em Bryant,1965,,,1972,,
Joe Bryant,1976,,,1983,,
Kobe Bryant*,1997,13,,2016,,
Mark Bryant,1989,,,2003,,
Thomas Bryant,2018,42,,2022,,
Wallace Bryant,1984,,,1986,,
Torgeir Bryn,1990,,,1990,,
George Bucci,1976,,,1976,,
Shaq Buchanan,2022,,,2022,,
Joe Buckhalter,1962,,,1963,,
Steve Bucknall,1990,,,1990,,
Cleveland Buckner,1962,,,1963,,
Greg Buckner,2000,53,,2009,,
Quinn Buckner,1977,,,1986,,
Dave Budd,1961,,,1965,,
Chase Budinger,2010,44,,2016,,
Walt Budko,1949,,,1952,,
Jud Buechler,1991,38,,2002,,
Rodney Buford,2000,53,,2005,,
Matt Bullard,1991,,,2002,,
Reggie Bullock,2014,25,,2022,,
Larry Bunce,1968,,,1969,,
Greg Bunch,1979,,,1979,,
Dick Bunt,1953,,,1953,,
Bill Buntin,1966,,,1966,,
Bill Bunting,1970,,,1972,,
Ticky Burden,1976,,,1978,,
Pat Burke,2003,,,2007,,
Trey Burke,2014,9,,2022,,
Roger Burkman,1982,,,1982,,
Alec Burks,2012,12,,2022,,
Antonio Burks,2005,36,,2006,,
Kevin Burleson,2006,,,2006,,
Tom Burleson,1975,,,1981,,
Jack Burmaster,1950,,,1950,,
David Burns,1982,,,1982,,
Evers Burns,1994,31,,1994,,
Jim Burns,1968,,,1968,,
Scott Burrell,1994,20,,2001,,
Art Burris,1951,,,1952,,
Junior Burrough,1996,33,,1996,,
Bob Burrow,1957,,,1958,,
Deonte Burton,2019,,,2020,,
Ed Burton,1962,,,1965,,
Willie Burton,1991,9,,1999,,
Willie Burton,1991,40,,1999,,
Steve Burtt,1985,,,1993,,
Don Buse,1973,,,1985,,
David Bustion,1973,,,1973,,
Donnie Butcher,1962,,,1966,,
Al Butler,1962,,,1965,,
Caron Butler,2003,10,,2016,,
Greg Butler,1989,,,1991,,
Jackie Butler,2005,,,2007,,
Jared Butler,2022,40,,2022,,
Jimmy Butler,2012,30,,2022,,
Mike Butler,1969,,,1972,,
Mitchell Butler,1994,,,2004,,
Rasual Butler,2003,53,,2016,,
Dwight Buycks,2014,,,2018,,
Derrick Byars,2012,42,,2012,,
Andrew Bynum,2006,10,,2014,,
Will Bynum,2006,,,2015,,
Walter Byrd,1970,,,1970,,
Marty Byrnes,1979,,,1983,,
Tommy Byrnes,1947,,,1951,,
Michael Bytzura,1947,,,1947,,
Žarko Čabarkapa,2004,17,,2006,,
Barney Cable,1959,,,1964,,
Bruno Caboclo,2015,20,,2021,,
Devontae Cacok,2020,,,2022,,
Jason Caffey,1996,20,,2003,,
Michael Cage,1985,,,2000,,
Gerry Calabrese,1951,,,1952,,
Nick Calathes,2014,45,,2015,,
José Calderón,2006,,,2019,,
Adrian Caldwell,1990,,,1998,,
Jim Caldwell,1968,,,1969,,
Joe Caldwell,1965,,,1975,,
Kentavious Caldwell-Pope,2014,8,,2022,,
Bill Calhoun,1949,,,1955,,
Corky Calhoun,1973,,,1980,,
Demetrius Calip,1992,,,1992,,
Tom Callahan,1947,,,1947,,
Rick Calloway,1991,,,1991,,
Ernie Calverley,1947,,,1949,,
Mack Calvin,1970,,,1981,,
Dexter Cambridge,1993,,,1993,,
Marcus Camby,1997,2,,2013,,
Facundo Campazzo,2021,,,2022,,
Elden Campbell,1991,27,,2005,,
Tony Campbell,1985,,,1995,,
Isaiah Canaan,2014,34,,2019,,
Vlatko Čančar,2020,49,,2022,,
Devin Cannady,2021,,,2022,,
Larry Cannon,1970,,,1974,,
Clint Capela,2015,25,,2022,,
Derrick Caracter,2011,58,,2011,,
Frank Card,1969,,,1973,,
Brian Cardinal,2001,44,,2012,,
Vernon Carey Jr.,2021,32,,2022,,
Howie Carl,1962,,,1962,,
Chet Carlisle,1947,,,1947,,
Geno Carlisle,2005,,,2005,,
Rick Carlisle,1985,,,1990,,
Don Carlos,1969,,,1969,,
Al Carlson,1976,,,1976,,
Don Carlson,1947,,,1951,,
Bob Carney,1955,,,1955,,
Rodney Carney,2007,16,,2011,,
Bob Carpenter,1950,,,1951,,
Antoine Carr,1985,,,2000,,
Austin Carr,1972,,,1981,,
Chris Carr,1996,56,,2001,,
Cory Carr,1999,49,,1999,,
Kenny Carr,1978,,,1987,,
M.L. Carr,1976,,,1985,,
Darel Carrier,1968,,,1973,,
Bob Carrington,1978,,,1980,,
DeMarre Carroll,2010,27,,2020,,
Joe Barry Carroll,1981,,,1991,,
Matt Carroll,2004,,,2013,,
Jimmy Carruth,1997,,,1997,,
Anthony Carter,2000,21,,2012,,
Butch Carter,1981,,,1986,,
Fred Carter,1970,,,1977,,
George Carter,1968,,,1976,,
Howard Carter,1984,,,1985,,
Jake Carter,1950,,,1950,,
Jevon Carter,2019,32,,2022,,
Maurice Carter,2004,,,2004,,
Reggie Carter,1981,,,1982,,
Ron Carter,1979,,,1980,,
Vince Carter,1999,5,,2020,,
Wendell Carter Jr.,2019,7,,2022,,
Michael Carter-Williams,2014,11,,2021,,
Bill Cartwright,1980,,,1995,,
Jay Carty,1969,,,1969,,
