Michael Anderson,1,36,5.7,2.5,4.3,41.7,14.3,69.5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Anderson,13,800,14.4,5.1,2.6,44.6,35.6,66.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Anderson,8,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Anderson,10,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Anderson,12,649,12.3,5.3,0.9,42.2,38,85.4,52.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shandon Anderson,10,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Willie Anderson,9,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wally Anderzunas,1,44,3.6,1.9,0.2,39.2,17.7,63,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martynas Andriuškevičius,1,6,0,0.7,0,0,14.2,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Anielak,1,1,3,2,0,0,23.4,75,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Anigbogu,2,14,0.9,0.9,0.1,33.3,17.7,83.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Ansley,3,149,6.9,4.2,0.4,51.3,23.4,72.2,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Anstey,3,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giannis Antetokounmpo,9,656,21.8,9.4,4.6,53.5,28.8,71.8,55.8,6,6,1,5,0,0,0,0,0,1,0,1,0,1,0,1,2,1,1
Kostas Antetokounmpo,3,22,1,1,0.1,37.5,23.4,47.4,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thanasis Antetokounmpo,7,127,3.1,2,0.7,51.7,16.7,54.5,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Carmelo Anthony,19,1260,22.5,6.2,2.7,44.7,35.5,81.4,48.5,10,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cole Anthony,2,112,14.9,5.1,5,39.3,33.7,84.6,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Anthony,11,757,7.3,1.9,4,40.3,34.9,73.3,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Anthony,10,490,2.2,2.8,0.2,51.3,14.2,66.2,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pero Antić,2,113,6.3,3.5,0.9,39.2,31.4,73,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG Anunoby,5,301,10.4,4.1,1.4,47,37.2,70.9,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Keith Appling,1,5,1.2,0.2,0.2,25,0,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Araújo,3,139,2.8,2.8,0.3,40.5,25,67.9,40.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stacey Arceneaux,1,7,7.1,4.6,0.6,39.3,23.4,46.2,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Archibald,2,44,1.2,1.6,0.4,28.3,23.4,42.9,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiny Archibald*,14,876,18.8,2.3,7.4,46.7,22.4,81,46.8,6,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
Ryan Arcidiacono,5,217,4.6,2,2.1,43.2,37.4,80.7,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Ard,8,431,4.4,4.3,0.6,40.2,23.5,66.2,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gilbert Arenas,11,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trevor Ariza,18,1118,10.4,4.8,2.1,42.2,35.1,73.1,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Paul Arizin*,12,713,22.8,8.6,2.3,42.1,28.6,81,47.1,10,4,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1
Joe Arlauckas,1,9,3.8,1.4,0.9,32.6,23.4,75,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Armstrong,11,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Bob Armstrong,1,19,1.5,2.1,0.2,29.7,17.7,50,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Armstrong,3,108,2.2,0.6,0.2,35.2,33.3,60,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curly Armstrong,3,153,6.8,2.3,2.3,29.5,28.6,69.2,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Armstrong,14,840,9.2,2.7,4,40.9,33.4,87.1,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Hilton Armstrong,8,292,3,2.6,0.3,50.1,28.6,58.2,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tate Armstrong,2,92,3.8,1,1.1,45.4,27.9,80,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Arnelle,1,31,4.7,5.5,0.6,31.7,23.4,62.3,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Arnette,3,114,3.7,1,1.2,36.5,27.9,76,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Arnzen,5,111,4,2,0.3,46.5,20,80,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Carlos Arroyo,10,569,6.6,1.7,3.1,43.8,33.8,80.6,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Arthur,10,503,6.5,3.5,0.8,44.4,35.2,76.5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Arthurs,1,11,3.2,1.3,1.5,34.3,27.9,73.3,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamel Artis,1,15,5.1,2.5,1.2,39.2,27.6,58.3,44.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ömer Aşık,8,471,5.3,7.1,0.6,52.8,0,55.1,52.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Askew,11,467,7.1,2.5,2.2,47.9,30,75.4,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Askins,9,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Asmonga,1,7,0.7,0.1,0.7,13.3,27.9,100,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Atha,3,43,3.2,1.5,1.2,39.3,27.9,79.5,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chucky Atkins,11,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Attles*,11,711,8.9,3.5,3.5,45.1,27.9,63.2,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chet Aubuchon,1,30,2.2,1.8,0.7,25.3,27.9,54.3,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stacey Augmon,15,1001,8,3.2,1.6,46.9,15.2,72.8,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Augustin,14,976,9.5,1.8,3.9,41.2,38.1,86.7,49.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Augustine,2,27,1.6,1.2,0.1,51.4,23.4,50,51.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Austin,11,432,7.6,4.7,1.2,44.6,17.6,67,44.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Johnny Austin,2,45,7.6,1.6,1.4,37.5,0,73.1,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Austin,1,7,1.7,0.4,0.1,46.2,23.4,67.6,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deni Avdija,2,136,7.6,5.1,1.7,42.6,31.6,72.9,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Avent,8,352,5.6,4.5,0.8,40.3,0,68.6,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bird Averitt,5,366,12.1,1.9,2.9,40.5,24.9,74.3,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
William Avery,3,142,2.7,0.7,1.4,33,25.5,71.4,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Awtrey,12,733,4.8,4.6,2,45.9,14.2,65.2,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Joel Ayayi,1,7,0.3,0.4,0.6,16.7,0,73.7,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Ayón,3,135,4.7,4.4,1.3,53.6,0,50.4,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Ayres,7,237,2.9,2.7,0.4,55.3,40,77.6,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deandre Ayton,4,236,16.3,10.5,1.6,59.9,25,75.4,60.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelenna Azubuike,6,208,10.5,4,1.1,45.9,40.9,77,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udoka Azubuike,2,32,3,2.6,0,70.7,14.2,66.7,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Babb,1,14,1.6,1.2,0.2,26.7,22.2,73.7,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Babbitt,8,381,4.8,2.2,0.6,40.8,40.2,74.7,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miloš Babić,2,21,1.8,1,0.5,37.5,17.7,65,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Bach,1,34,3.5,3.1,0.7,28.6,28.6,68,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bacon,4,207,7.3,2.6,1.1,40.2,31.4,78,44.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Bacon,1,47,3.5,1.7,0.8,36.6,20,60.3,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Baechtold,5,321,9.7,3.1,2.1,38.8,28.6,78.3,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
